ID,Locality,Lat,Long,Coordinates,Locality Details,Site_ID,Species,Sex,Age,Date captured,Year,d2H,Sr,Uncertainty,d2Hrev,Reference
70,BC,49.56,-125.02,"Comox Land Distr., Comox",,CMN18019,SS,,,,,-53.3,,,-34.62561,Lott and Smith 2006
212,MD,39.1,-76.85,Laurel,,AMNH352292,CH,,,,,-53.1,,,-34.45527,Lott and Smith 2006
175,Ont,47.31,-79.81,"Anima Nipissing Lake, near Latchford",,ROM35726,NG,,,,,-52.7,,,-34.11459,Lott and Smith 2006
62,PEI,46.41,-63.41,"Queens Co. (PE), Millvale",,CMN28958,NG,,,,,-52.4,,,-33.85908,Lott and Smith 2006
155,QU,48.77,-64.47,Gaspe,,CMN96310,NG,,,,,-52.4,,,-33.85908,Lott and Smith 2006
167,NY,41.06,-73.82,Westchester,,AMNH128929,SS,,,,,-51.3,,,-32.92221,Lott and Smith 2006
170,MI,46.53,-87.63,Marquette Co,,FMNH317836,NG,,,,,-51.3,,,-32.92221,Lott and Smith 2006
145,QU,48.94,-64.63,"Cté de la Côte-de-Gaspé, Saint-Maurice-d",,CMN62016,AK,,,,,-51.1,,,-32.75187,Lott and Smith 2006
23,UT,40.51,-111.48,Midway,,BYU9163,AK,,,,,-51,,,-32.6667,Lott and Smith 2006
135,IA,40.84,-91.72,Hillsboro,,AMNH352612,BW,,,,,-50.6,,,-32.32602,Lott and Smith 2006
182,NM,32.42,-104.23,Carlsbad,,UNM8960,RT,,,,,-50.6,,,-32.32602,Lott and Smith 2006
18,NV,41.39,-119.16,Soldier Meadow,,MVZ 9314,NH,,,,,-50.1,,,-31.90017,Lott and Smith 2006
233,Man,49.88,-96.45,Vivian,,ROM39211,SS,,,,,-48.9,,,-30.87813,Lott and Smith 2006
51,Ont,43.8,-79.53,"1 mi S King-Vaughan Townline, Concession 3",,ROM91435,BW,,,,,-48.9,,,-30.87813,Lott and Smith 2006
91,OR,42.84,-122.81,"Trail, 20 mi N",,FMNH156784,NG,,,,,-47.9,,,-30.02643,Lott and Smith 2006
107,WI,43.92,-90.27,Camp Douglas,,AMNH55594,NH,,,,,-47.4,,,-29.60058,Lott and Smith 2006
19,ME,45.36,-68.51,Lincoln,,AMNH750315,BW,,,,,-47.3,,,-29.51541,Lott and Smith 2006
154,QU,46.1,-76.5,Gracefield,,CMN91398,BW,,,,,-47.1,,,-29.34507,Lott and Smith 2006
79,NY,42.44,-76.5,Ithaca,,HWINY1078,PG,,,,,-46.4,,,-28.74888,Lott and Smith 2006
118,WA,47.76,-122.2,Bothell,,UW11393,CH,,,,,-46,,,-28.4082,Lott and Smith 2006
137,OR,45.14,-122.85,Woodburn,,PSM5413,CH,,,,,-44.7,,,-27.30099,Lott and Smith 2006
114,OR,45.17,-122.44,Colton,,PSM1541,CH,,,,,-43.6,,,-26.36412,Lott and Smith 2006
15,CA,32.8,-117.13,San Diego,,BYU9453,PG,,,,,-43.3,,,-26.10861,Lott and Smith 2006
131,WI,43.46,-88.84,Beaver Dam,,HWICH52201,NH,,,,,-43.3,,,-26.10861,Lott and Smith 2006
61,PEI,46.36,-63.43,"Queens Co. (PE), Fredericton",,CMN28953,RT,,,,,-42.6,,,-25.51242,Lott and Smith 2006
226,NM,34.6,-106.03,Willard,,UNM6180,SW,,,,,-41.8,,,-24.83106,Lott and Smith 2006
228,NC,34.23,-77.95,Wilmington,,HWINC17897,RT,,,,,-41.7,,,-24.74589,Lott and Smith 2006
192,KS,38.17,-95.29,Welda,,HWIKU29586,NH,,,,,-41.5,,,-24.57555,Lott and Smith 2006
213,WY,42.5,-105.03,Glendo,,AMNH789771,ML,,,,,-41.2,,,-24.32004,Lott and Smith 2006
27,NS,44.41,-65.99,Weymouth,,AMNH821391,NG,,,,,-40.7,,,-23.89419,Lott and Smith 2006
30,QU,45.68,-75.93,Mun. Rég. de Cté des Collines-de-l'Outaouais,,CMN23668,BW,,,,,-40.7,,,-23.89419,Lott and Smith 2006
195,NC,35.24,-80.83,Mecklenberg,,HWINC18439,CH,,,,,-40.7,,,-23.89419,Lott and Smith 2006
169,AZ,33.62,-109.43,"Blue Range, Reno Lookout, 35 mi S Springerville",,MVZ 67201,NG,,,,,-40.2,,,-23.46834,Lott and Smith 2006
163,MI,47.12,-88.58,Hancock,,HWICH39577,CH,,,,,-39.8,,,-23.12766,Lott and Smith 2006
188,KS,37.39,-97.11,W Udall,,HWIKU105901,NH,,,,,-39.1,,,-22.53147,Lott and Smith 2006
152,BC,49.3,-115.11,"Kootenay Land Distr., Elko",,CMN38620,AK,,,,,-38.9,,,-22.36113,Lott and Smith 2006
116,IL,42.26,-88.84,Belvidere,,FMNH324729,AK,,,,,-38.8,,,-22.27596,Lott and Smith 2006
111,TX,30.28,-96.95,Lee Co,,AMNH80658,SS,,,,,-38.6,,,-22.10562,Lott and Smith 2006
54,NY,43.84,-73.76,Schroon Lake,,HWICH324653,CH,,,,,-37.6,,,-21.25392,Lott and Smith 2006
81,NY,42.35,-76.48,Danby,,HWINY922,CH,,,,,-37.5,,,-21.16875,Lott and Smith 2006
49,UT,38.21,-112.92,"Minersville, Hay Springs",,HWICH160288,NH,,,,,-37.3,,,-20.99841,Lott and Smith 2006
66,QU,45.5,-72.13,Tomifobia,,ROM74384,NG,,,,,-37.2,,,-20.91324,Lott and Smith 2006
74,WI,45.19,-87.12,Washington Id,,HWICH348903,BW,,,,,-36.5,,,-20.31705,Lott and Smith 2006
31,Ont,43.86,-81.51,Huron Co,,ROM67168,SS,,,,,-36.4,,,-20.23188,Lott and Smith 2006
128,AR,35.8,-94.14,Winslow,,HWICH156929,BW,,,,,-36,,,-19.8912,Lott and Smith 2006
117,NM,35.99,-106.08,Espanola,,UNM9577,AK,,,,,-35.9,,,-19.80603,Lott and Smith 2006
35,Ont,44.46,-80.22,Collingwood,,ROM68986,ML,,,,,-35.6,,,-19.55052,Lott and Smith 2006
20,Ont,44.46,-79.74,Midhurst,,ROM77055,CH,,,,,-35.4,,,-19.38018,Lott and Smith 2006
11,Ont,45.3,-79.1,3 mi SE Dwight,,ROM105305,BW,,,,,-35.3,,,-19.29501,Lott and Smith 2006
198,NC,35.26,-81.19,Gastonia,,HWINC18438,RT,,,,,-35.1,,,-19.12467,Lott and Smith 2006
39,QU,45.58,-73.49,Crabtree,,CMN95175,SS,,,,,-33.6,,,-17.84712,Lott and Smith 2006
1,CA,35.67,-118.29,Weldon,,HWIMVZ19784,NH,,,,,-33.6,,,-17.84712,Lott and Smith 2006
33,ONT,44.9,-76.25,"Lanark Co. (ON), Perth",,CMN78902,CH,,,,,-33.5,,,-17.76195,Lott and Smith 2006
122,AZ,33.39,-110.79,Globe,,HWICH324657,CH,,,,,-33.3,,,-17.59161,Lott and Smith 2006
223,FL,29.19,-82.14,Marion,,HWIUF18935,RT,,,,,-32.9,,,-17.25093,Lott and Smith 2006
204,FL,30.42,-87.27,Pensacola area,,FMNH428722,CH,,,,,-31.9,,,-16.39923,Lott and Smith 2006
129,WA,47.62,-122.64,Port Orchard,,PSM10404,CH,,,,,-31.8,,,-16.31406,Lott and Smith 2006
24,MI,45.55,-84.78,Pellston,,FMNH324647,SS,,,,,-30.9,,,-15.54753,Lott and Smith 2006
65,UT,38.81,-109.3,Dewey,,BYU2773,AK,,,,,-30,,,-14.781,Lott and Smith 2006
215,MN,44.58,-94,"CR 21, .5 mi E Boyseman Bridge",,HWICH396961,CH,,,,,-29.6,,,-14.44032,Lott and Smith 2006
3,CA,36.47,-121.18,New Idria,,HWIMVZ69496,CH,,,,,-29.6,,,-14.44032,Lott and Smith 2006
206,DC,38.9,-77.04,Washington,,AMNH436381,AK,,,,,-28.4,,,-13.41828,Lott and Smith 2006
172,Ont,46.73,-79.9,Marten River,,ROM134359,ML,,,,,-28.4,,,-13.41828,Lott and Smith 2006
84,AZ,35.2,-111.65,5 mi E Flagstaff,,MVZ 77318,AK,,,,,-28,,,-13.0776,Lott and Smith 2006
76,UT,41.95,-111.39,Garden City,,HWIMVZ58092,SS,,,,,-27.8,,,-12.90726,Lott and Smith 2006
181,KS,37.25,-95.71,Montgomery Co,,HWIKU10463,CH,,,,,-27.1,,,-12.31107,Lott and Smith 2006
191,KY,37.01,-88.53,Reidland,,FMNH351612,AK,,,,,-27,,,-12.2259,Lott and Smith 2006
139,AZ,32.22,-110.93,Tucson,,FMNH130345,RT,,,,,-25.7,,,-11.11869,Lott and Smith 2006
183,NC,35.21,-82.76,Transylvania,,HWINC18723,SS,,,,,-25.3,,,-10.77801,Lott and Smith 2006
134,WA,47.04,-122.9,Olympia,,PSM20461,RT,,,,,-24.6,,,-10.18182,Lott and Smith 2006
179,NY,40.94,-72.28,"Long Island, Georgica pond",,HWIMVZ144642,CH,,,,,-24.4,,,-10.01148,Lott and Smith 2006
222,AZ,32,-109.1,Palmerlee,,AMNH352269,CH,,,,,-23.5,,,-9.24495,Lott and Smith 2006
105,MI,42.27,-83.72,Ann Arbor,,HWICH324655,CH,,,,,-23.4,,,-9.15978,Lott and Smith 2006
37,VT,43.51,-72.87,Shrewsbury,,HWICH351181,BW,,,,,-23.1,,,-8.90427,Lott and Smith 2006
7,CA,33.48,-116.58,"San Jacinto Lake, San Bernardino Valley",,ROM36188,NH,,,,,-22.1,,,-8.05257,Lott and Smith 2006
28,UT,40.46,-109.53,Vernal,,ROM34.9.26.176,AK,,,,,-20.9,,,-7.03053,Lott and Smith 2006
44,ME,43.36,-70.52,Kennebunkport,,AMNH834139,SS,,,,,-20.1,,,-6.34917,Lott and Smith 2006
178,NM,33.38,-108.9,Alma,,FMNH157106,AK,,,,,-19.7,,,-6.00849,Lott and Smith 2006
132,OK,34.86,-94.98,LeFlore,,HWIKU18727,BW,,,,,-18.7,,,-5.15679,Lott and Smith 2006
98,NV,36.66,-115.99,Mercury,,BYU2709,CH,,,,,-16.8,,,-3.53856,Lott and Smith 2006
36,MA,42.67,-70.94,Essex Co,,AMNH832551,NG,,,,,-16.7,,,-3.45339,Lott and Smith 2006
106,IN,41.06,-86.2,Rochester,,AMNH352290,CH,,,,,-16.5,,,-3.28305,Lott and Smith 2006
88,WY,41.45,-106.81,Saratoga,,UNM720,RT,,,,,-16.5,,,-3.28305,Lott and Smith 2006
147,CO,39.37,-104.86,Castle Rock,,DMS10145,RT,,,,,-16.2,,,-3.02754,Lott and Smith 2006
125,NM,35.76,-105.93,Tesuque,,UNM9575,NG,,,,,-16.2,,,-3.02754,Lott and Smith 2006
229,FL,30.14,-82.95,Suwannee,,HWIZ9901,CH,,,,,-16,,,-2.8572,Lott and Smith 2006
216,MN,46.37,-94.2,Brainerd,,HWICH385414,SS,,,,,-15.7,,,-2.60169,Lott and Smith 2006
148,WA,48.07,-122.88,Protection Island,,PSM21357,NH,,,,,-14.3,,,-1.40931,Lott and Smith 2006
10,CA,36.55,-121.88,"Carmel, San Jose Canyon",,HWICH130174,SS,,,,,-13.2,,,-0.47244,Lott and Smith 2006
220,NM,34.42,-106.83,Bernardo,,UNM4345,SW,,,,,-11,,,1.4013,Lott and Smith 2006
196,WI,46.34,-91.26,Bayfield Co,,HWICH349032,BW,,,,,-6.1,,,5.57463,Lott and Smith 2006
59,CA,39.69,-123.48,Laytonville,,HWIMVZ30835,SS,,,,,-5.5,,,6.08565,Lott and Smith 2006
16,CA,37.06,-120.84,Los Banos,,AMNH750318,SW,,,,,-4.1,,,7.27803,Lott and Smith 2006
190,AZ,34.13,-109.29,EscudillaMts-Springerville,,HWIMVZ67200,CH,,,,,-3.4,,,7.87422,Lott and Smith 2006
2,CA,33.78,-116.96,San Jacinto,,AMNH352492,RT,,,,,-1.2,,,9.74796,Lott and Smith 2006
58,Ont,43.98,-79.61,Pottageville,,ROM26.9.1.13,NH,,,,,2.4,,,12.81408,Lott and Smith 2006
224,NM,33.39,-104.52,Roswell,,UNM21380,AK,,,,,5.3,,,15.28401,Lott and Smith 2006
